"Timestamp","Temperature(Fahrenheit)"
"06/10/2023 6:21:23 PM","41.90"
"06/10/2023 6:13:11 PM","41.00"
"06/10/2023 6:10:53 PM","41.90"
"06/10/2023 6:05:47 PM","41.00"
"06/10/2023 6:01:29 PM","40.10"
"06/10/2023 5:56:53 PM","41.00"
"06/10/2023 5:56:47 PM","41.90"
"06/10/2023 5:56:41 PM","41.00"
"06/10/2023 5:56:35 PM","41.90"
"06/10/2023 5:56:29 PM","41.00"
"06/10/2023 5:56:13 PM","41.90"
"06/10/2023 5:53:05 PM","41.90"
"06/10/2023 5:52:59 PM","42.80"
"06/10/2023 5:52:53 PM","41.90"
"06/10/2023 5:52:47 PM","42.80"
"06/10/2023 5:52:35 PM","41.90"
"06/10/2023 5:52:23 PM","42.80"
"06/10/2023 5:46:16 PM","41.90"
"06/10/2023 5:46:10 PM","41.00"
"06/10/2023 5:45:58 PM","41.90"
"06/10/2023 5:45:52 PM","41.00"
"06/10/2023 5:45:46 PM","41.90"
"06/10/2023 5:45:40 PM","41.00"
"06/10/2023 5:45:34 PM","41.90"
"06/10/2023 5:40:46 PM","41.00"
"06/10/2023 5:40:40 PM","40.10"
"06/10/2023 5:40:34 PM","41.00"
"06/10/2023 5:39:28 PM","40.10"
"06/10/2023 5:39:22 PM","41.00"
"06/10/2023 5:39:04 PM","40.10"
"06/10/2023 5:35:22 PM","41.00"
"06/10/2023 5:35:16 PM","41.90"
"06/10/2023 5:34:58 PM","41.00"
"06/10/2023 5:31:16 PM","41.90"
"06/10/2023 5:31:10 PM","41.00"
"06/10/2023 5:31:04 PM","41.90"
"06/10/2023 5:30:58 PM","41.00"
"06/10/2023 5:30:52 PM","41.90"
"06/10/2023 5:25:58 PM","41.00"
"06/10/2023 5:25:52 PM","40.10"
"06/10/2023 5:25:46 PM","41.00"
"06/10/2023 5:23:58 PM","40.10"
"06/10/2023 5:23:46 PM","41.00"
"06/10/2023 5:23:40 PM","40.10"
"06/10/2023 5:19:58 PM","41.00"
"06/10/2023 5:19:52 PM","41.90"
"06/10/2023 5:19:46 PM","41.00"
"06/10/2023 5:14:40 PM","41.90"
"06/10/2023 5:14:34 PM","41.00"
"06/10/2023 5:14:22 PM","41.90"
"06/10/2023 5:13:16 PM","41.00"
"06/10/2023 5:04:04 PM","41.00"
"06/10/2023 5:03:58 PM","41.90"
"06/10/2023 4:58:46 PM","41.00"
"06/10/2023 4:58:34 PM","40.10"
"06/10/2023 4:58:28 PM","41.00"
"06/10/2023 4:52:40 PM","40.10"
"06/10/2023 4:48:28 PM","41.00"
"06/10/2023 4:42:52 PM","41.90"
"06/10/2023 4:42:46 PM","41.00"
"06/10/2023 4:42:34 PM","41.90"
"06/10/2023 4:33:16 PM","41.00"
"06/10/2023 4:33:10 PM","41.90"
"06/10/2023 4:33:04 PM","41.00"
"06/10/2023 4:32:40 PM","41.90"
"06/10/2023 4:27:29 PM","41.00"
"06/10/2023 4:20:46 PM","40.10"
"06/10/2023 4:16:22 PM","41.00"
"06/10/2023 4:10:46 PM","41.90"
"06/10/2023 4:10:40 PM","41.00"
"06/10/2023 4:10:28 PM","41.90"
"06/10/2023 4:10:10 PM","41.00"
"06/10/2023 4:10:04 PM","41.90"
"06/10/2023 4:05:52 PM","41.00"
"06/10/2023 4:05:46 PM","40.10"
"06/10/2023 4:05:40 PM","41.00"
"06/10/2023 4:00:47 PM","40.10"
"06/10/2023 3:56:11 PM","41.00"
"06/10/2023 3:56:05 PM","41.90"
"06/10/2023 3:55:59 PM","41.00"
"06/10/2023 3:49:53 PM","41.90"
"06/10/2023 3:49:47 PM","41.00"
"06/10/2023 3:49:41 PM","41.90"
"06/10/2023 3:41:11 PM","41.00"
"06/10/2023 3:41:05 PM","41.90"
"06/10/2023 3:40:59 PM","41.00"
"06/10/2023 3:39:47 PM","41.90"
"06/10/2023 3:39:41 PM","41.00"
"06/10/2023 3:39:35 PM","41.90"
"06/10/2023 3:33:59 PM","41.00"
"06/10/2023 3:29:11 PM","40.10"
"06/10/2023 3:24:41 PM","41.00"
"06/10/2023 3:18:23 PM","41.90"
"06/10/2023 3:18:17 PM","41.00"
"06/10/2023 3:18:11 PM","41.90"
"06/10/2023 3:18:05 PM","41.00"
"06/10/2023 3:17:59 PM","41.90"
"06/10/2023 3:09:59 PM","41.00"
"06/10/2023 3:07:29 PM","41.90"
"06/10/2023 3:02:53 PM","41.00"
"06/10/2023 3:02:41 PM","40.10"
"06/10/2023 3:02:35 PM","41.00"
"06/10/2023 2:57:59 PM","40.10"
"06/10/2023 2:53:47 PM","41.00"
"06/10/2023 2:53:41 PM","41.90"
"06/10/2023 2:53:29 PM","41.00"
"06/10/2023 2:46:53 PM","41.90"
"06/10/2023 2:46:47 PM","41.00"
"06/10/2023 2:46:35 PM","41.90"
"06/10/2023 2:38:47 PM","41.00"
"06/10/2023 2:38:41 PM","41.90"
"06/10/2023 2:38:35 PM","41.00"
"06/10/2023 2:36:29 PM","41.90"
"06/10/2023 2:36:17 PM","41.00"
"06/10/2023 2:36:11 PM","41.90"
"06/10/2023 2:31:29 PM","41.00"
"06/10/2023 2:26:47 PM","40.10"
"06/10/2023 2:26:41 PM","41.00"
"06/10/2023 2:26:35 PM","40.10"
"06/10/2023 2:22:35 PM","41.00"
"06/10/2023 2:22:23 PM","41.90"
"06/10/2023 2:22:17 PM","41.00"
"06/10/2023 2:16:17 PM","41.90"
"06/10/2023 2:16:11 PM","41.00"
"06/10/2023 2:15:53 PM","41.90"
"06/10/2023 2:07:41 PM","41.00"
"06/10/2023 2:07:29 PM","41.90"
"06/10/2023 2:07:23 PM","41.00"
"06/10/2023 2:05:29 PM","41.90"
"06/10/2023 2:00:17 PM","41.00"
"06/10/2023 2:00:11 PM","40.10"
"06/10/2023 2:00:05 PM","41.00"
"06/10/2023 1:56:14 PM","40.10"
"06/10/2023 1:55:53 PM","40.10"
"06/10/2023 1:51:23 PM","41.00"
"06/10/2023 1:44:11 PM","41.90"
"06/10/2023 1:44:05 PM","41.00"
"06/10/2023 1:43:53 PM","41.90"
"06/10/2023 1:37:11 PM","41.00"
"06/10/2023 1:37:05 PM","41.90"
"06/10/2023 1:36:59 PM","41.00"
"06/10/2023 1:33:35 PM","41.90"
"06/10/2023 1:33:29 PM","41.00"
"06/10/2023 1:33:23 PM","41.90"
"06/10/2023 1:28:35 PM","41.00"
"06/10/2023 1:28:29 PM","40.10"
"06/10/2023 1:28:17 PM","41.00"
"06/10/2023 1:25:29 PM","40.10"
"06/10/2023 1:25:23 PM","41.00"
"06/10/2023 1:25:17 PM","40.10"
"06/10/2023 1:21:35 PM","41.00"
"06/10/2023 1:21:29 PM","41.90"
"06/10/2023 1:21:17 PM","41.00"
"06/10/2023 1:21:05 PM","41.90"
"06/10/2023 1:20:59 PM","41.00"
"06/10/2023 1:13:41 PM","41.90"
"06/10/2023 1:13:29 PM","41.00"
"06/10/2023 1:13:23 PM","41.90"
"06/10/2023 1:06:47 PM","41.00"
"06/10/2023 1:06:23 PM","41.90"
"06/10/2023 1:06:17 PM","41.00"
"06/10/2023 1:02:47 PM","41.90"
"06/10/2023 12:57:35 PM","41.00"
"06/10/2023 12:55:29 PM","40.10"
"06/10/2023 12:51:11 PM","41.00"
"06/10/2023 12:43:18 PM","41.90"
"06/10/2023 12:38:24 PM","41.00"
"06/10/2023 12:38:18 PM","40.10"
"06/10/2023 12:38:00 PM","41.00"
"06/10/2023 12:34:12 PM","40.10"
"06/10/2023 12:30:06 PM","41.00"
"06/10/2023 12:22:42 PM","41.90"
"06/10/2023 12:22:36 PM","41.00"
"06/10/2023 12:22:12 PM","41.90"
"06/10/2023 12:15:36 PM","41.00"
"06/10/2023 12:15:30 PM","41.90"
"06/10/2023 12:15:24 PM","41.00"
"06/10/2023 12:11:48 PM","41.90"
"06/10/2023 12:11:42 PM","41.00"
"06/10/2023 12:11:24 PM","41.90"
"06/10/2023 12:06:06 PM","41.00"
"06/10/2023 12:04:36 PM","40.10"
"06/10/2023 12:00:30 PM","41.00"
"06/10/2023 11:56:15 AM","41.90"
"06/10/2023 11:52:42 AM","41.90"
"06/10/2023 11:45:54 AM","41.00"
"06/10/2023 11:42:29 AM","41.90"
"06/10/2023 11:42:23 AM","41.00"
"06/10/2023 11:42:17 AM","41.90"
"06/10/2023 11:41:59 AM","41.00"
"06/10/2023 11:41:47 AM","41.90"
"06/10/2023 11:36:29 AM","41.00"
"06/10/2023 11:35:05 AM","40.10"
"06/10/2023 11:34:53 AM","41.00"
"06/10/2023 11:34:47 AM","40.10"
"06/10/2023 11:34:41 AM","41.00"
"06/10/2023 11:34:35 AM","40.10"
"06/10/2023 11:30:59 AM","41.00"
"06/10/2023 11:23:23 AM","41.90"
"06/10/2023 11:16:41 AM","41.00"
"06/10/2023 11:16:35 AM","41.90"
"06/10/2023 11:16:23 AM","41.00"
"06/10/2023 11:12:23 AM","41.90"
"06/10/2023 11:12:17 AM","41.00"
"06/10/2023 11:11:53 AM","41.90"
"06/10/2023 11:06:05 AM","41.00"
"06/10/2023 11:05:59 AM","40.10"
"06/10/2023 11:01:41 AM","41.00"
"06/10/2023 11:01:29 AM","41.90"
"06/10/2023 11:01:23 AM","41.00"
"06/10/2023 10:54:23 AM","41.90"
"06/10/2023 10:47:11 AM","41.00"
"06/10/2023 10:44:12 AM","41.90"
"06/10/2023 10:38:36 AM","41.00"
"06/10/2023 10:35:54 AM","40.10"
"06/10/2023 10:35:48 AM","41.00"
"06/10/2023 10:35:42 AM","40.10"
"06/10/2023 10:35:36 AM","41.00"
"06/10/2023 10:35:30 AM","40.10"
"06/10/2023 10:31:36 AM","41.00"
"06/10/2023 10:24:06 AM","41.90"
"06/10/2023 10:17:48 AM","41.00"
"06/10/2023 10:17:36 AM","41.90"
"06/10/2023 10:17:30 AM","41.00"
"06/10/2023 10:12:36 AM","41.90"
"06/10/2023 10:12:18 AM","41.00"
"06/10/2023 10:12:06 AM","41.90"
"06/10/2023 10:07:12 AM","41.00"
"06/10/2023 10:07:06 AM","40.10"
"06/10/2023 10:02:24 AM","41.00"
"06/10/2023 9:56:17 AM","41.90"
"06/10/2023 9:55:06 AM","41.90"
"06/10/2023 9:54:54 AM","41.00"
"06/10/2023 9:54:48 AM","41.90"
"06/10/2023 9:48:30 AM","41.00"
"06/10/2023 9:44:12 AM","41.90"
"06/10/2023 9:38:35 AM","41.00"
"06/10/2023 9:38:29 AM","40.10"
"06/10/2023 9:38:17 AM","41.00"
"06/10/2023 9:38:11 AM","40.10"
"06/10/2023 9:38:05 AM","41.00"
"06/10/2023 9:37:35 AM","40.10"
"06/10/2023 9:33:35 AM","41.00"
"06/10/2023 9:33:29 AM","41.90"
"06/10/2023 9:33:17 AM","41.00"
"06/10/2023 9:26:59 AM","41.90"
"06/10/2023 9:26:53 AM","41.00"
"06/10/2023 9:26:47 AM","41.90"
"06/10/2023 9:19:18 AM","41.00"
"06/10/2023 9:19:12 AM","41.90"
"06/10/2023 9:19:06 AM","41.00"
"06/10/2023 9:16:00 AM","41.90"
"06/10/2023 9:10:36 AM","41.00"
"06/10/2023 9:10:30 AM","40.10"
"06/10/2023 9:10:18 AM","41.00"
"06/10/2023 9:08:00 AM","40.10"
"06/10/2023 9:07:54 AM","41.00"
"06/10/2023 9:07:48 AM","40.10"
"06/10/2023 9:07:36 AM","41.00"
"06/10/2023 9:07:30 AM","40.10"
"06/10/2023 9:04:00 AM","41.00"
"06/10/2023 9:00:12 AM","41.90"
"06/10/2023 9:00:06 AM","42.80"
"06/10/2023 9:00:00 AM","41.90"
"06/10/2023 8:58:42 AM","42.80"
"06/10/2023 8:58:36 AM","41.90"
"06/10/2023 8:58:24 AM","42.80"
"06/10/2023 8:58:18 AM","41.90"
"06/10/2023 8:57:48 AM","42.80"
"06/10/2023 8:50:48 AM","41.90"
"06/10/2023 8:50:42 AM","41.00"
"06/10/2023 8:50:24 AM","41.90"
"06/10/2023 8:45:00 AM","41.00"
"06/10/2023 8:44:54 AM","40.10"
"06/10/2023 8:44:42 AM","41.00"
"06/10/2023 8:44:36 AM","40.10"
"06/10/2023 8:44:30 AM","41.00"
"06/10/2023 8:44:12 AM","40.10"
"06/10/2023 8:40:06 AM","41.00"
"06/10/2023 8:33:06 AM","41.90"
"06/10/2023 8:26:12 AM","41.00"
"06/10/2023 8:25:54 AM","41.90"
"06/10/2023 8:25:48 AM","41.00"
"06/10/2023 8:21:36 AM","41.90"
"06/10/2023 8:16:19 AM","41.00"
"06/10/2023 8:16:13 AM","40.10"
"06/10/2023 8:16:07 AM","41.00"
"06/10/2023 8:15:19 AM","40.10"
"06/10/2023 8:15:13 AM","41.00"
"06/10/2023 8:15:01 AM","40.10"
"06/10/2023 8:11:07 AM","41.00"
"06/10/2023 8:03:19 AM","41.90"
"06/10/2023 8:02:55 AM","41.00"
"06/10/2023 8:02:49 AM","41.90"
"06/10/2023 7:57:01 AM","41.00"
"06/10/2023 7:56:16 AM","41.90"
"06/10/2023 7:52:31 AM","41.90"
"06/10/2023 7:52:25 AM","41.00"
"06/10/2023 7:52:13 AM","41.90"
"06/10/2023 7:46:43 AM","41.00"
"06/10/2023 7:46:37 AM","40.10"
"06/10/2023 7:46:31 AM","41.00"
"06/10/2023 7:46:07 AM","40.10"
"06/10/2023 7:46:01 AM","41.00"
"06/10/2023 7:45:55 AM","40.10"
"06/10/2023 7:41:55 AM","41.00"
"06/10/2023 7:41:49 AM","41.90"
"06/10/2023 7:41:37 AM","41.00"
"06/10/2023 7:41:31 AM","41.90"
"06/10/2023 7:41:25 AM","41.00"
"06/10/2023 7:34:13 AM","41.90"
"06/10/2023 7:27:37 AM","41.00"
"06/10/2023 7:27:31 AM","41.90"
"06/10/2023 7:27:25 AM","41.00"
"06/10/2023 7:23:07 AM","41.90"
"06/10/2023 7:22:55 AM","41.00"
"06/10/2023 7:22:49 AM","41.90"
"06/10/2023 7:17:07 AM","41.00"
"06/10/2023 7:17:01 AM","40.10"
"06/10/2023 7:12:49 AM","41.00"
"06/10/2023 7:05:31 AM","41.90"
"06/10/2023 7:05:13 AM","41.00"
"06/10/2023 7:05:07 AM","41.90"
"06/10/2023 6:58:55 AM","41.00"
"06/10/2023 6:54:07 AM","41.90"
"06/10/2023 6:54:01 AM","41.00"
"06/10/2023 6:53:55 AM","41.90"
"06/10/2023 6:53:49 AM","41.00"
"06/10/2023 6:53:37 AM","41.90"
"06/10/2023 6:48:13 AM","41.00"
"06/10/2023 6:47:55 AM","40.10"
"06/10/2023 6:47:49 AM","41.00"
"06/10/2023 6:47:43 AM","40.10"
"06/10/2023 6:44:01 AM","41.00"
"06/10/2023 6:37:07 AM","41.90"
"06/10/2023 6:36:55 AM","41.00"
"06/10/2023 6:36:49 AM","41.90"
"06/10/2023 6:36:43 AM","41.00"
"06/10/2023 6:36:37 AM","41.90"
"06/10/2023 6:29:43 AM","41.00"
"06/10/2023 6:26:13 AM","41.90"
"06/10/2023 6:25:55 AM","41.00"
"06/10/2023 6:25:49 AM","41.90"
"06/10/2023 6:20:25 AM","41.00"
"06/10/2023 6:20:13 AM","40.10"
"06/10/2023 6:20:07 AM","41.00"
"06/10/2023 6:18:49 AM","40.10"
"06/10/2023 6:18:37 AM","41.00"
"06/10/2023 6:18:31 AM","40.10"
"06/10/2023 6:15:07 AM","41.00"
"06/10/2023 6:14:49 AM","41.90"
"06/10/2023 6:14:37 AM","41.00"
"06/10/2023 6:07:13 AM","41.90"
"06/10/2023 6:06:55 AM","41.00"
"06/10/2023 6:06:49 AM","41.90"
"06/10/2023 6:06:43 AM","41.00"
"06/10/2023 6:06:31 AM","41.90"
"06/10/2023 6:00:31 AM","41.00"
"06/10/2023 6:00:25 AM","41.90"
"06/10/2023 6:00:19 AM","41.00"
"06/10/2023 5:56:16 AM","41.90"
"06/10/2023 5:55:49 AM","41.90"
"06/10/2023 5:50:07 AM","41.00"
"06/10/2023 5:49:31 AM","40.10"
"06/10/2023 5:45:43 AM","41.00"
"06/10/2023 5:45:37 AM","41.90"
"06/10/2023 5:45:31 AM","41.00"
"06/10/2023 5:38:25 AM","41.90"
"06/10/2023 5:38:19 AM","41.00"
"06/10/2023 5:38:13 AM","41.90"
"06/10/2023 5:31:19 AM","41.00"
"06/10/2023 5:31:13 AM","41.90"
"06/10/2023 5:31:07 AM","41.00"
"06/10/2023 5:31:01 AM","41.90"
"06/10/2023 5:30:55 AM","41.00"
"06/10/2023 5:27:31 AM","41.90"
"06/10/2023 5:27:19 AM","41.00"
"06/10/2023 5:27:01 AM","41.90"
"06/10/2023 5:21:49 AM","41.00"
"06/10/2023 5:21:43 AM","40.10"
"06/10/2023 5:21:37 AM","41.00"
"06/10/2023 5:21:31 AM","40.10"
"06/10/2023 5:21:25 AM","41.00"
"06/10/2023 5:20:13 AM","40.10"
"06/10/2023 5:16:07 AM","41.00"
"06/10/2023 5:09:19 AM","41.90"
"06/10/2023 5:09:13 AM","41.00"
"06/10/2023 5:09:01 AM","41.90"
"06/10/2023 5:01:49 AM","41.00"
"06/10/2023 4:58:07 AM","41.90"
"06/10/2023 4:53:01 AM","41.00"
"06/10/2023 4:52:55 AM","40.10"
"06/10/2023 4:52:49 AM","41.00"
"06/10/2023 4:50:31 AM","40.10"
"06/10/2023 4:46:55 AM","41.00"
"06/10/2023 4:46:49 AM","41.90"
"06/10/2023 4:46:43 AM","41.00"
"06/10/2023 4:39:01 AM","41.90"
"06/10/2023 4:38:49 AM","41.00"
"06/10/2023 4:38:43 AM","41.90"
"06/10/2023 4:32:01 AM","41.00"
"06/10/2023 4:31:55 AM","41.90"
"06/10/2023 4:31:43 AM","41.00"
"06/10/2023 4:28:13 AM","41.90"
"06/10/2023 4:28:01 AM","41.00"
"06/10/2023 4:27:55 AM","41.90"
"06/10/2023 4:22:49 AM","41.00"
"06/10/2023 4:22:43 AM","40.10"
"06/10/2023 4:22:31 AM","41.00"
"06/10/2023 4:21:37 AM","40.10"
"06/10/2023 4:21:25 AM","41.00"
"06/10/2023 4:21:13 AM","40.10"
"06/10/2023 4:17:13 AM","41.00"
"06/10/2023 4:08:43 AM","41.90"
"06/10/2023 4:08:31 AM","41.00"
"06/10/2023 4:08:25 AM","41.90"
"06/10/2023 4:02:49 AM","41.00"
"06/10/2023 3:58:07 AM","41.90"
"06/10/2023 3:57:55 AM","41.00"
"06/10/2023 3:57:49 AM","41.90"
"06/10/2023 3:57:43 AM","41.00"
"06/10/2023 3:57:37 AM","41.90"
"06/10/2023 3:57:31 AM","41.00"
"06/10/2023 3:57:25 AM","41.90"
"06/10/2023 3:56:16 AM","41.00"
"06/10/2023 3:48:01 AM","41.00"
"06/10/2023 3:42:37 AM","41.90"
"06/10/2023 3:37:01 AM","41.00"
"06/10/2023 3:35:01 AM","40.10"
"06/10/2023 3:34:55 AM","41.00"
"06/10/2023 3:34:37 AM","40.10"
"06/10/2023 3:30:55 AM","41.00"
"06/10/2023 3:30:49 AM","41.90"
"06/10/2023 3:30:43 AM","41.00"
"06/10/2023 3:30:37 AM","41.90"
"06/10/2023 3:30:31 AM","41.00"
"06/10/2023 3:23:49 AM","41.90"
"06/10/2023 3:23:43 AM","41.00"
"06/10/2023 3:23:37 AM","41.90"
"06/10/2023 3:16:07 AM","41.00"
"06/10/2023 3:13:07 AM","41.90"
"06/10/2023 3:12:55 AM","41.00"
"06/10/2023 3:12:43 AM","41.90"
"06/10/2023 3:07:49 AM","41.00"
"06/10/2023 3:04:55 AM","40.10"
"06/10/2023 3:04:49 AM","41.00"
"06/10/2023 3:04:37 AM","40.10"
"06/10/2023 3:00:31 AM","41.00"
"06/10/2023 2:59:20 AM","41.90"
"06/10/2023 2:50:13 AM","41.90"
"06/10/2023 2:49:49 AM","41.00"
"06/10/2023 2:49:43 AM","41.90"
"06/10/2023 2:44:55 AM","41.00"
"06/10/2023 2:44:49 AM","40.10"
"06/10/2023 2:44:31 AM","41.00"
"06/10/2023 2:42:31 AM","40.10"
"06/10/2023 2:42:25 AM","41.00"
"06/10/2023 2:42:19 AM","40.10"
"06/10/2023 2:38:02 AM","41.00"
"06/10/2023 2:32:44 AM","41.90"
"06/10/2023 2:32:38 AM","41.00"
"06/10/2023 2:32:32 AM","41.90"
"06/10/2023 2:32:20 AM","41.00"
"06/10/2023 2:23:08 AM","41.00"
"06/10/2023 2:22:20 AM","41.90"
"06/10/2023 2:22:14 AM","41.00"
"06/10/2023 2:22:08 AM","41.90"
"06/10/2023 2:16:26 AM","41.00"
"06/10/2023 2:16:20 AM","40.10"
"06/10/2023 2:16:14 AM","41.00"
"06/10/2023 2:12:11 AM","40.10"
"06/10/2023 2:12:02 AM","41.00"
"06/10/2023 2:11:50 AM","40.10"
"06/10/2023 2:07:27 AM","41.00"
"06/10/2023 2:03:44 AM","41.90"
"06/10/2023 2:03:38 AM","42.80"
"06/10/2023 2:03:32 AM","41.90"
"06/10/2023 2:00:26 AM","42.80"
"06/10/2023 2:00:20 AM","41.90"
"06/10/2023 2:00:14 AM","42.80"
"06/10/2023 2:00:02 AM","41.90"
"06/10/2023 1:59:56 AM","42.80"
"06/10/2023 1:56:17 AM","41.90"
"06/10/2023 1:53:02 AM","41.90"
"06/10/2023 1:47:50 AM","41.00"
"06/10/2023 1:47:38 AM","40.10"
"06/10/2023 1:47:32 AM","41.00"
"06/10/2023 1:47:26 AM","40.10"
"06/10/2023 1:47:20 AM","41.00"
"06/10/2023 1:43:56 AM","40.10"
"06/10/2023 1:40:02 AM","41.00"
"06/10/2023 1:39:56 AM","41.90"
"06/10/2023 1:39:50 AM","41.00"
"06/10/2023 1:33:14 AM","41.90"
"06/10/2023 1:33:08 AM","41.00"
"06/10/2023 1:33:02 AM","41.90"
"06/10/2023 1:25:32 AM","41.00"
"06/10/2023 1:25:26 AM","41.90"
"06/10/2023 1:25:20 AM","41.00"
"06/10/2023 1:25:08 AM","41.90"
"06/10/2023 1:24:56 AM","41.00"
"06/10/2023 1:22:26 AM","41.90"
"06/10/2023 1:17:14 AM","41.00"
"06/10/2023 1:17:08 AM","40.10"
"06/10/2023 1:17:02 AM","41.00"
"06/10/2023 1:13:38 AM","40.10"
"06/10/2023 1:09:32 AM","41.00"
"06/10/2023 1:02:32 AM","41.90"
"06/10/2023 12:54:38 AM","41.00"
"06/10/2023 12:51:50 AM","41.90"
"06/10/2023 12:51:26 AM","41.00"
"06/10/2023 12:51:20 AM","41.90"
"06/10/2023 12:46:14 AM","41.00"
"06/10/2023 12:43:38 AM","40.10"
"06/10/2023 12:39:20 AM","41.00"
"06/10/2023 12:32:44 AM","41.90"
"06/10/2023 12:24:56 AM","41.00"
"06/10/2023 12:21:56 AM","41.90"
"06/10/2023 12:21:44 AM","41.00"
"06/10/2023 12:21:38 AM","41.90"
"06/10/2023 12:16:26 AM","41.00"
"06/10/2023 12:16:20 AM","40.10"
"06/10/2023 12:16:14 AM","41.00"
"06/10/2023 12:13:44 AM","40.10"
"06/10/2023 12:09:32 AM","41.00"
"06/10/2023 12:06:44 AM","41.90"
"06/10/2023 12:06:38 AM","41.00"
"06/10/2023 12:06:32 AM","41.90"
"06/10/2023 12:06:20 AM","41.00"
